NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Workers' Compensation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         General Assistance, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Maternal/Child Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 2 , -   , -   , -   , -   , -   , -   
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 2 , 5 , 6 , 7 , 9 , 10 , 13 , 15 , 21 , 28 , 34 , 44 , 59 , 74 , 98 , 130 , 168 , 219 , 254 , 287 , 329 , 380 , 418 , 476 , 557 , 742 , 865 , 959 ," 1,020 "," 1,207 "," 1,227 "," 1,333 "," 1,350 "," 1,327 "," 1,434 "," 1,581 "," 1,678 "," 1,861 "," 2,025 "," 2,140 "," 2,295 "," 2,539 "," 2,717 "," 2,794 "," 3,008 "," 3,126 "," 3,271 "," 2,713 "," 2,278 "," 2,264 "," 2,102 "," 1,957 "," 2,091 "," 2,194 "
Total Prescription Drug Expenditures," 2,676 "," 2,718 "," 3,029 "," 3,159 "," 3,347 "," 3,715 "," 3,985 "," 4,227 "," 4,742 "," 5,149 "," 5,497 "," 5,877 "," 6,324 "," 6,817 "," 7,422 "," 8,052 "," 8,722 "," 9,196 "," 9,891 "," 10,744 "," 12,049 "," 13,398 "," 15,029 "," 17,323 "," 19,617 "," 21,795 "," 24,290 "," 26,888 "," 30,646 "," 34,757 "," 40,290 "," 44,381 "," 46,972 "," 49,551 "," 53,019 "," 59,766 "," 68,084 "," 77,636 "," 88,523 "," 105,294 "," 122,003 "," 140,583 "," 159,812 "," 179,654 "," 195,638 "," 208,595 "," 228,099 "," 239,335 "," 244,324 "," 254,254 "," 253,371 "," 256,326 "," 256,989 "," 262,627 "," 298,042 "," 324,369 "," 329,890 "," 337,105 "," 349,829 "," 369,687 "
     Out of pocket," 2,570 "," 2,595 "," 2,889 "," 3,005 "," 3,138 "," 3,441 "," 3,594 "," 3,712 "," 4,120 "," 4,362 "," 4,531 "," 4,752 "," 5,035 "," 5,341 "," 5,724 "," 6,093 "," 6,519 "," 6,813 "," 7,200 "," 7,575 "," 8,592 "," 8,983 "," 10,440 "," 11,446 "," 12,731 "," 13,860 "," 15,753 "," 16,705 "," 18,708 "," 20,598 "," 22,887 "," 23,575 "," 23,685 "," 24,382 "," 23,745 "," 23,801 "," 24,725 "," 26,178 "," 28,123 "," 31,439 "," 34,732 "," 37,739 "," 45,449 "," 50,075 "," 52,601 "," 55,751 "," 56,482 "," 56,767 "," 54,283 "," 51,694 "," 47,749 "," 45,280 "," 45,137 "," 45,358 "," 50,053 "," 54,444 "," 53,524 "," 51,009 "," 51,911 "," 53,740 "
     Health Insurance, 38 , 41 , 45 , 45 , 82 , 128 , 281 , 437 , 529 , 691 , 892 ," 1,044 "," 1,197 "," 1,374 "," 1,582 "," 1,826 "," 2,055 "," 2,223 "," 2,517 "," 2,943 "," 3,174 "," 4,101 "," 4,216 "," 5,444 "," 6,370 "," 7,309 "," 7,746 "," 9,280 "," 10,860 "," 12,854 "," 15,846 "," 19,181 "," 21,600 "," 23,423 "," 27,319 "," 33,801 "," 40,985 "," 48,806 "," 57,291 "," 70,298 "," 83,091 "," 97,996 "," 109,010 "," 123,786 "," 136,961 "," 146,690 "," 165,427 "," 176,721 "," 184,198 "," 196,904 "," 200,200 "," 205,942 "," 207,260 "," 212,601 "," 243,484 "," 265,504 "," 272,077 "," 281,774 "," 293,582 "," 311,658 "
          Private Health Insurance, 34 , 37 , 41 , 41 , 78 , 125 , 175 , 229 , 306 , 386 , 469 , 541 , 623 , 719 , 830 , 938 ," 1,065 "," 1,164 "," 1,387 "," 1,683 "," 1,743 "," 2,464 "," 2,514 "," 3,502 "," 4,110 "," 4,920 "," 4,681 "," 5,772 "," 6,896 "," 8,581 "," 10,518 "," 12,832 "," 14,339 "," 15,226 "," 18,079 "," 23,234 "," 28,930 "," 34,976 "," 41,121 "," 50,735 "," 59,640 "," 69,866 "," 75,363 "," 83,784 "," 91,715 "," 99,609 "," 99,586 "," 104,978 "," 107,515 "," 115,198 "," 114,390 "," 115,498 "," 112,820 "," 112,549 "," 128,538 "," 140,264 "," 142,465 "," 147,387 "," 155,075 "," 164,649 "
          Medicare, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 13 , 32 , 58 , 82 , 115 , 156 , 198 , 253 , 318 , 406 , 568 , 749 , 890 ," 1,125 "," 1,407 "," 1,564 "," 1,810 "," 1,863 "," 1,862 "," 2,707 "," 3,157 "," 38,570 "," 44,640 "," 48,795 "," 52,215 "," 56,295 "," 60,266 "," 63,943 "," 69,759 "," 79,454 "," 86,374 "," 89,906 "," 93,509 "," 97,214 "," 104,616 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 103 , 205 , 219 , 300 , 417 , 495 , 563 , 644 , 739 , 871 , 969 ," 1,036 "," 1,107 "," 1,236 "," 1,408 "," 1,611 "," 1,669 "," 1,907 "," 2,219 "," 2,332 "," 2,986 "," 3,396 "," 3,814 "," 4,083 "," 5,077 "," 6,043 "," 6,883 "," 7,721 "," 8,627 "," 9,700 "," 10,824 "," 12,222 "," 14,031 "," 16,647 "," 19,771 "," 23,378 "," 27,523 "," 32,238 "," 35,852 "," 36,537 "," 19,115 "," 18,341 "," 19,232 "," 20,348 "," 20,419 "," 20,785 "," 20,995 "," 21,112 "," 25,310 "," 27,738 "," 29,410 "," 30,030 "," 30,422 "," 31,425 "
                          Federal  , -   , -   , -   , -   , -   , -   , 50 , 99 , 114 , 165 , 224 , 281 , 308 , 336 , 419 , 478 , 576 , 587 , 613 , 701 , 815 , 923 , 952 ," 1,092 "," 1,263 "," 1,319 "," 1,691 "," 1,916 "," 2,183 "," 2,342 "," 2,919 "," 3,445 "," 4,029 "," 4,551 "," 4,974 "," 5,543 "," 6,238 "," 6,998 "," 8,003 "," 9,525 "," 11,301 "," 13,393 "," 15,700 "," 19,243 "," 21,127 "," 20,971 "," 10,957 "," 10,559 "," 11,483 "," 13,595 "," 13,790 "," 12,449 "," 11,434 "," 11,630 "," 16,443 "," 18,522 "," 19,569 "," 19,854 "," 19,877 "," 20,852 "
                          State and Local, -   , -   , -   , -   , -   , -   , 53 , 106 , 106 , 135 , 193 , 214 , 255 , 308 , 321 , 392 , 394 , 449 , 493 , 536 , 593 , 688 , 717 , 815 , 956 ," 1,013 "," 1,295 "," 1,480 "," 1,631 "," 1,741 "," 2,158 "," 2,598 "," 2,854 "," 3,169 "," 3,653 "," 4,157 "," 4,586 "," 5,225 "," 6,029 "," 7,121 "," 8,469 "," 9,985 "," 11,823 "," 12,995 "," 14,725 "," 15,566 "," 8,158 "," 7,782 "," 7,750 "," 6,753 "," 6,629 "," 8,335 "," 9,561 "," 9,483 "," 8,867 "," 9,216 "," 9,841 "," 10,176 "," 10,545 "," 10,574 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 47 , 173 , 301 , 408 , 612 , 953 , 930 ," 1,053 ", 977 ," 1,155 "," 1,162 "," 1,363 "," 1,407 "," 1,441 "," 1,523 "," 1,471 "," 1,390 "," 1,572 "," 1,809 "," 1,990 "," 2,023 "," 2,046 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 33 , 122 , 213 , 290 , 433 , 676 , 661 , 747 , 689 , 813 , 828 , 976 ," 1,004 "," 1,032 "," 1,073 "," 1,032 ", 996 ," 1,171 "," 1,686 "," 1,882 "," 1,918 "," 1,898 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 14 , 51 , 89 , 118 , 178 , 277 , 268 , 306 , 288 , 342 , 334 , 386 , 403 , 409 , 450 , 439 , 394 , 401 , 123 , 107 , 105 , 148 
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 3 , 5 , 6 , 5 , 6 , 9 , 10 , 11 , 11 , 11 , 11 , 13 , 20 , 22 , 27 , 34 , 38 , 43 , 57 , 65 , 84 , 98 , 114 , 145 , 179 , 213 , 259 , 312 , 338 , 471 , 667 ," 1,039 "," 1,821 "," 2,717 "," 3,279 "," 3,629 "," 4,427 "," 4,704 "," 4,732 "," 4,944 "," 4,726 "," 4,792 "," 4,858 "," 4,914 "," 5,768 "," 6,281 "," 4,924 "," 4,947 "," 4,894 "," 4,825 "
         Department of Veterans Affairs, 4 , 4 , 4 , 4 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 5 , 5 , 7 , 9 , 12 , 11 , 12 , 12 , 13 , 13 , 13 , 12 , 11 , 10 , 10 , 10 , 11 , 9 , 10 , 10 , 10 , 12 , 28 , 86 , 223 , 405 , 628 , 866 ," 1,148 "," 1,495 "," 1,827 "," 2,231 "," 2,478 "," 2,704 "," 2,753 "," 2,903 "," 2,762 "," 2,837 "," 2,963 "," 3,161 "," 3,119 "," 2,795 "," 3,024 "," 3,275 "," 3,564 "," 3,911 "," 3,954 "," 4,097 "
     Other Third Party Payers and Programs, 69 , 82 , 95 , 109 , 128 , 145 , 110 , 78 , 93 , 96 , 74 , 82 , 92 , 103 , 115 , 133 , 147 , 160 , 174 , 227 , 282 , 314 , 373 , 434 , 516 , 626 , 791 , 904 ," 1,077 "," 1,306 "," 1,558 "," 1,625 "," 1,687 "," 1,746 "," 1,955 "," 2,164 "," 2,374 "," 2,653 "," 3,109 "," 3,557 "," 4,179 "," 4,848 "," 5,354 "," 5,793 "," 6,076 "," 6,154 "," 6,190 "," 5,848 "," 5,843 "," 5,656 "," 5,423 "," 5,103 "," 4,592 "," 4,668 "," 4,505 "," 4,422 "," 4,288 "," 4,322 "," 4,336 "," 4,289 "
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, 1 , 1 , 1 , 2 , 3 , 5 , 6 , 8 , 11 , 13 , 15 , 17 , 20 , 23 , 26 , 29 , 32 , 38 , 46 , 48 , 67 , 69 , 96 , 113 , 134 , 129 , 158 , 189 , 235 , 289 , 351 , 392 , 431 , 510 , 650 , 800 , 962 ," 1,133 "," 1,384 "," 1,624 "," 1,891 "," 2,119 "," 2,242 "," 2,214 "," 2,333 "," 2,182 "," 2,152 "," 2,073 "," 2,221 "," 2,148 "," 2,126 "," 2,015 "," 2,106 "," 2,312 "," 2,539 "," 2,555 "," 2,546 "," 2,602 "," 2,620 "," 2,612 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 4 , 4 , 4 , 4 , 4 , 5 , 6 , 8 , 8 , 8 , 9 , 9 , 9 , 10 , 10 , 12 , 13 , 14 , 15 , 16 , 16 , 17 , 17 , 19 , 21 , 25 , 25 , 26 , 26 , 28 , 28 , 28 , 27 , 28 , 27 
         Workers' Compensation, 9 , 9 , 10 , 11 , 11 , 12 , 14 , 15 , 17 , 19 , 21 , 23 , 25 , 30 , 33 , 36 , 40 , 42 , 45 , 51 , 55 , 59 , 67 , 78 , 91 , 106 , 125 , 144 , 172 , 208 , 245 , 271 , 287 , 290 , 276 , 290 , 317 , 357 , 413 , 501 , 567 , 662 , 708 , 756 , 778 , 790 , 737 , 758 , 792 , 774 , 760 , 758 , 712 , 718 , 795 , 796 , 739 , 690 , 679 , 657 
         General Assistance, 4 , 4 , 3 , 4 , 4 , 4 , 8 , 15 , 27 , 27 , 29 , 31 , 35 , 39 , 43 , 53 , 60 , 63 , 65 , 109 , 141 , 167 , 191 , 221 , 270 , 366 , 481 , 542 , 640 , 779 , 929 , 924 , 927 , 904 , 985 ," 1,027 "," 1,045 "," 1,107 "," 1,253 "," 1,365 "," 1,646 "," 1,983 "," 2,311 "," 2,726 "," 2,866 "," 3,082 "," 3,200 "," 2,910 "," 2,718 "," 2,624 "," 2,424 "," 2,096 "," 1,360 "," 1,233 "," 1,021 ", 958 , 896 , 923 , 928 , 910 
         Maternal/Child Health, 1 , 1 , 2 , 2 , 3 , 3 , 5 , 6 , 8 , 9 , 8 , 9 , 10 , 9 , 11 , 12 , 13 , 14 , 15 , 16 , 16 , 16 , 16 , 18 , 17 , 20 , 21 , 23 , 24 , 26 , 27 , 30 , 32 , 33 , 34 , 36 , 39 , 44 , 48 , 55 , 62 , 68 , 73 , 77 , 79 , 78 , 78 , 84 , 87 , 83 , 79 , 74 , 67 , 68 , 77 , 78 , 74 , 73 , 76 , 75 
                          Federal  , 1 , 1 , 1 , 1 , 2 , 2 , 3 , 5 , 6 , 7 , 5 , 7 , 8 , 7 , 8 , 9 , 10 , 11 , 11 , 12 , 12 , 11 , 11 , 13 , 11 , 13 , 13 , 14 , 15 , 16 , 16 , 17 , 18 , 18 , 19 , 19 , 20 , 22 , 23 , 27 , 29 , 31 , 34 , 35 , 36 , 35 , 35 , 34 , 33 , 33 , 31 , 30 , 28 , 27 , 30 , 31 , 30 , 29 , 29 , 28 
                          State and Local, -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 3 , 3 , 2 , 2 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 5 , 5 , 5 , 6 , 7 , 9 , 9 , 10 , 10 , 11 , 13 , 14 , 15 , 16 , 17 , 19 , 22 , 24 , 29 , 33 , 36 , 40 , 43 , 43 , 43 , 44 , 49 , 54 , 50 , 48 , 44 , 39 , 41 , 47 , 47 , 44 , 44 , 47 , 46 
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*, 28 , 36 , 44 , 53 , 53 , 53 , 38 , 20 , 17 , 15 , 1 , 1 , 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 130 , 316 , 306 , 39 , -   , -   , -   , -   , -   
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**, 26 , 30 , 34 , 38 , 53 , 68 , 38 , 13 , 13 , 15 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 5 , 5 , 5 , 5 , 6 , 6 , 6 , 6 , 6 , 6 , 5 , 6 , 6 , 7 , 7 , 7 , 7 , 7 
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 103 , 205 , 219 , 300 , 417 , 495 , 563 , 644 , 739 , 871 , 969 ," 1,036 "," 1,107 "," 1,236 "," 1,408 "," 1,611 "," 1,669 "," 1,908 "," 2,222 "," 2,345 "," 3,017 "," 3,454 "," 3,896 "," 4,198 "," 5,233 "," 6,241 "," 7,136 "," 8,039 "," 9,033 "," 10,267 "," 11,573 "," 13,113 "," 15,203 "," 18,226 "," 21,636 "," 25,596 "," 29,998 "," 35,053 "," 39,489 "," 40,747 "," 58,661 "," 64,137 "," 69,189 "," 73,926 "," 78,120 "," 82,492 "," 86,462 "," 92,342 "," 106,154 "," 115,684 "," 121,125 "," 125,529 "," 129,659 "," 138,088 "
Total Durable Medical Equipment Expenditures, 740 , 765 , 910 , 901 ," 1,004 "," 1,105 "," 1,242 "," 1,128 "," 1,317 "," 1,512 "," 1,747 "," 1,799 "," 2,032 "," 2,247 "," 2,506 "," 2,801 "," 2,987 "," 3,205 "," 3,447 "," 3,781 "," 4,054 "," 4,330 "," 4,570 "," 5,250 "," 6,142 "," 7,056 "," 8,067 "," 9,466 "," 11,078 "," 11,887 "," 13,767 "," 13,081 "," 13,498 "," 14,140 "," 15,318 "," 15,860 "," 17,432 "," 19,218 "," 21,315 "," 22,132 "," 25,970 "," 25,292 "," 29,557 "," 30,616 "," 33,091 "," 36,040 "," 39,466 "," 43,147 "," 42,482 "," 41,249 "," 39,880 "," 40,522 "," 43,259 "," 44,921 "," 46,558 "," 48,773 "," 50,912 "," 52,388 "," 54,847 "," 57,572 "
     Out of pocket, 685 , 706 , 842 , 831 , 927 ," 1,019 "," 1,128 ", 987 ," 1,147 "," 1,297 "," 1,499 "," 1,528 "," 1,716 "," 1,884 "," 2,055 "," 2,252 "," 2,382 "," 2,498 "," 2,619 "," 2,781 "," 2,951 "," 3,074 "," 3,146 "," 3,561 "," 4,219 "," 4,880 "," 5,601 "," 6,625 "," 7,798 "," 8,145 "," 9,449 "," 8,535 "," 8,498 "," 8,618 "," 9,204 "," 9,013 "," 9,940 "," 11,001 "," 12,774 "," 13,079 "," 15,555 "," 14,074 "," 16,016 "," 16,417 "," 18,169 "," 19,610 "," 21,077 "," 23,804 "," 22,295 "," 20,965 "," 19,590 "," 19,292 "," 20,589 "," 21,859 "," 22,243 "," 22,578 "," 23,696 "," 24,076 "," 24,442 "," 25,557 "
     Health Insurance, 40 , 40 , 49 , 50 , 55 , 61 , 85 , 108 , 130 , 169 , 196 , 213 , 253 , 296 , 373 , 463 , 515 , 610 , 723 , 882 , 981 ," 1,135 "," 1,297 "," 1,545 "," 1,755 "," 1,979 "," 2,237 "," 2,575 "," 2,968 "," 3,386 "," 3,910 "," 4,149 "," 4,598 "," 5,119 "," 5,705 "," 6,446 "," 7,071 "," 7,759 "," 8,031 "," 8,490 "," 9,807 "," 10,606 "," 12,907 "," 13,561 "," 14,270 "," 15,773 "," 17,742 "," 18,647 "," 19,249 "," 19,343 "," 19,320 "," 20,225 "," 21,687 "," 22,038 "," 23,260 "," 25,125 "," 26,111 "," 27,204 "," 29,263 "," 30,842 "
          Private Health Insurance, 40 , 40 , 49 , 50 , 55 , 61 , 75 , 82 , 91 , 113 , 133 , 151 , 185 , 210 , 251 , 305 , 332 , 396 , 457 , 550 , 565 , 570 , 564 , 616 , 705 , 786 , 869 , 997 ," 1,220 "," 1,336 "," 1,515 "," 1,384 "," 1,350 "," 1,441 "," 1,633 "," 1,718 "," 1,952 "," 2,238 "," 2,729 "," 2,964 "," 3,731 "," 3,616 "," 4,852 "," 4,708 "," 5,085 "," 5,977 "," 7,046 "," 7,564 "," 7,084 "," 7,208 "," 6,808 "," 7,491 "," 8,151 "," 8,416 "," 8,827 "," 9,746 "," 10,686 "," 11,096 "," 12,156 "," 12,418 "
          Medicare, -   , -   , -   , -   , -   , -   , 6 , 16 , 21 , 25 , 28 , 35 , 42 , 51 , 71 , 94 , 115 , 148 , 198 , 247 , 326 , 447 , 573 , 748 , 865 , 976 ," 1,111 "," 1,274 "," 1,388 "," 1,565 "," 1,812 "," 2,044 "," 2,359 "," 2,617 "," 2,797 "," 3,202 "," 3,463 "," 3,905 "," 3,737 "," 3,880 "," 4,199 "," 4,479 "," 5,273 "," 6,021 "," 6,231 "," 6,435 "," 6,886 "," 7,017 "," 7,892 "," 7,488 "," 7,508 "," 7,532 "," 8,088 "," 7,804 "," 7,780 "," 7,950 "," 7,632 "," 8,098 "," 8,871 "," 9,756 "
